People,Comments
,"Want to master Python? Get my Python mastery course: http://bit.ly/35BLHHP
 Subscribe for more Python tutorials like this: https://goo.gl/6PYaGF"
Arthur Morgan,If u ever feel useless in life just remember there are idiotic fools that dislike a 6 hour video of a man teaching how to use python for absolutley free
Kilovolt,"After 2.5 years, I am returning here to say that I’ve just accepted a job offer for a good salary, and my IT journey started here, from this video, in November of 2019. This was my first source of information, when I got back from work (being a cable tech), and typed “Python full course” or something along those lines."
Dexcelo,"Can we just take a moment to appreciate this guy for providing this type of content for free ? great help, Thank you sir!"
Christian Naira,"This 6 hours course widen my knowledge in python, and I consider it as a warm up for my future learning . I finished the course in two months by repeating the lessons over and over again until I understand it haha. Thank you for this programming course! it really helps a lot!"
SphinyAl,"I'm gonna add myself to the many ""thank you""s! I'm one hour in and I already understood more than I did in a TWO DAYS course I got from work. You singlehandedly gave me the trust that even I can learn python and programming. This video is worth gold to me right now! Thank you Mosh!"
Andrea Nava,"I am going to say, I have just 3 years as a English speaker (my first language is Spanish) and I understand EVERYTHING that you explain. You put it so simple, very understandable, digestible for real beginners like me... Thank you for putting all the work/time and release these videos for free."
Harry Hunter,"this guy, sat for 6 hours and talked about python, and then released it for free. legend"
Aksam Dar,Imagine how many people would have earned better living because of this effort put in by Mosh.  Huge Respect
AJazmyn Kiv,Thank you Mosh. I try watching other python tutorials. i do really appreciate everyone's free content. But there is s just something about your personality & voice that just makes this material sink in a lot better. Definitely have Much love and appreciation for you!
Sami Huq,"I am honestly blown away by your easy to follow method, you have made programming so easy! wish you were my uni faculty"
Rising Omen,"I love your videos!, having learnt all this in my gcses / a levels, just rewatching it after 4 months after my exams this really just reminded me of everything i might have forgotten, luckily it wasn't much but its a 10/10 tutorial for coders who have never coded before. AND ITS FREE"
Oscar’s Life Miles,"Hats off ! Mosh I have no words to let you know how grateful I am for this free course, it is not only well designed but also easy to follow, God bless you. I am trying to transition and Python seems like a very good option and you already convinced me that I gotta keep on studying it. Thanks a lot"
Techno Maestro,This course has literally changed my life. 2 years ago i started learning python from this course and now i am a software engineer intern at a great startup. Thanks Mosh️
Kuntal Banerjee,Thanks Mosh 6 hours of amazing lecture.What an amazing teacher you are.!
Mehul Pajwani,"You have made life so easier. I will join your master class once I fully grasp the basics. Thanks for sharing this course, God bless you."
habib KAZEMINAJAFABADI,Hi Mosh. You are marvelous in teaching. I really like the way you teach Python. I am not a professional user but I really enjoyed it.
Samyak Mishra,"Sir I'm a Computer Science Student from India 
And i wanted to learn Python for the off campus foreign placements to the MNC's. 
I came across your channel a few weeks ago and I'm enjoying it 
Thank you for your efforts"
Gavin James,"Hi Mosh. Thank you so much for putting this together. I’m wanting to learn python because I’m a teacher with an IT background who wants to find a way to make simple web applications to make life easier for my fellow teachers. I’m mostly interested in creating a way for teachers to enter data (assessment data, house points etc), which can then be collated, summarised and displayed in useful ways."
Ravi Mishra,"Here's the table of content for you. Enjoy! 



00:00:00 Introduction

00:01:49 Installing Python"
Peter Johnson,"I am 82 years old, retired - obviously. I started work as a computer operator in 1968 and then moved on to (Cobol) programming. Those were the days! Quite often we would punch our own programs into 80 column punch cards because the girls(!) were busy doing (the more important!!) production work.
I'm really enjoying this Python tutorial course of yours and - so far - finding it quite straightforward with no probs. I'm just doing it for fun."
Bambang Sugiono,"6 frickin hours of free python lessons. this man will be one of the biggest influences in the IT industry. respect for this man, god bless"
Paul,"I love the way you present/teach Mosh, I went ahead and purchased the full course. Keep up the great work"
Mercy Muthee,"Thanks Mosh, I had started another course and was feeling overwhelmed. I have watched this for just 26 mins and feeling confident and newly motivated. I like your way of explaining things, thanks for doing this."
Rafael Sanches,"Hi Mosh!
Thank you for this video, that really changed my life.
I wish you the best, and I'll give you my support as soon as possible.
I've been studying your tutorial for the past week and I just came out with a thousand-line notebook. That was my first step, and I am really grateful."
Exolorant,imagine disliking a 6 hour pyhton tutorial and the guy released it for free
tuba hosseini,ABSOLUTELY LOVE this 6 hour video... Thanks a lot Mosh :)
Ned Nadima,"You're a legend Mosh, this is unbelievable. Thank you!"
Deepti Mittal,"Thank you Mosh for this amazing tutorial video you have made. I am a researcher and work on large datasets. Basically, I am a wet lab scientist but really want to python to write different codes that will help me analyze the huge dataset. When I started working with large datasets I did all the calculations and sorted the data manually which is so labor intensive. Therefore, python will certainly help me in minimizing my efforts and provide more robust data analysis power."
Budapest,"Mosh you're a legend, I've been trying to study my python notes and I was learning very slow, your tutorial has helped me a lot in deep understanding of this concepts and quick learning. GOD bless you"
Vikash Kumar,Hi Mosh! A big thank you from India. I am an engineer in material science from last 6 years and never learnt any programming language to be frank and today I am starting my Python journey in a quest to enter in to the field of machine learning and artificial intelligence for simulation of advanced materials. You have made this course super easy for the zero beginners like me. Hopefully I will complete this course and then will proceed to Python mastery course. And happy teacher's day (5th Sep is celebrated as teacher's day here in India).
,"Wow, this looks like a great course!"
Alizey's Mehndi,I am 3:30:00 into this course. About to start packages. So far very good experience for a beginner.
Joseph Ifeoluwa,"Thank you so much Mosh, it took me a while to pull through this course, but now that I've completed it, I believe you've put me on the right track to changing my life."
Nada T,"I don't know how to thank you enough. I spontaneously chose to learn python today, as it is an incredibly useful skill to have (as you say). I really appreciate your efforts and the easy access you give people to learning python. I can't thank you enough"
lil's videos,"Your video is the bestest one amoung other videos i watched. Very clear, neat, simple, easy to understand, with perfect examples. Thank you!"
Albert Astillero,"Hi Sir Mosh, Thank you so much for your tutorials, you're making python seems very easy."
:3,"I've known this man only for 6 hours, but I feel like I owe him 6 decades of gratitude. Thankyou for this awesome tutorial!"
Sanvi Sundarrajan,"Thanks a ton , the amount of effort you put in is huge , I owe you a lot for this !"
Kart hick ajay,"How can someone dislike this course? We should appreciate his efforts in creating this fantastic course.
You made my life easier man, I searched a lot of tutorials but this one was the best, you explain everything clear, the great thing is that we are getting these for free"
acenck,Really appreciate your course! Your tutorials are always so helpful.
Gilow,Im 12 trying to build my self a future. Im just at the start of the video but im trying to do my best to learn it. Its hard to learn it but if i practice enough i think i will know some basic stuff. Thanks for this video! It really helps me out and the vibes that u give are amazing!
Stefan B,"The ""elif"" is interesting. I can use ""if"" for both conditions, but if I set  both cold and hot to True, then both statements will print. In the case of ""elif"", only the first statement will be examined (only the ""if"", the ""elif"" will be skipped). Therefore it's really important which is the first IF condition (and also therefore important you have a good configuration)."
Alvin Crown,"As a retired developer of 42 years, I want to congratulate you on creating this course. You not only have mastered Python but what is rare, you are an excellent instructor. Thank you very much."
David Murinda,"Thanks Mosh. I havent started on this yet, but I know already its gonna be an awesome week ahead. All your trainings are awesome."
Layal Mahfoud,The nice things about your videos that you give examples to enable us to try and understand. Thank you
poornima thirumoorthy,Your session helped me a lot to overcome my career break and start working again. Hats off to you and your teaching  sessions.
Divine love stories,"You explain so beautifully, it is fun to learn!"
aias aiascon,"I am also going to watch and follow this course Mosh! Like the MySQL, I feel already cool - using Python. I once begun with a book (a well known) but due to circumstances I got stuck in the middle of the book. I believe this is going to end so well. Mostly I need Python for data processing, reporting, and analysis in combination to Excel , not that much for designing Websites, but I will follow everything."
Tiandi,"(VERY IMPORTANT TIP FOR PEOPLE WATCHING!)
   Do not try watching the entire video at once. Limit your watch time from 30 or 60 minutes each day and make sure to participate and understand the code. This will take around a week to complete, but it will save you from feeling like you're not good enough. Don't rush yourself. Limit and pay attention!"
Lauren Fabian,"Last year2021, I was curious about websites that have the % character  and 1months ago(August 2022), I learned that Django involves the use of the % character to integrate html elements with python. I just completed this 6h tutorial and I must say Mosh is really awesome. I want to say thank you for putting to all this effort for others that you are doing."
C0D3 Z3R0,I never thought I would enjoy learning something for 6 hours Love this and its a lot of fun once you get a hang of it thank you Mosh truly .
MUHAMMAD HARIS,"Just fall In love with the way you teach sir. 
And also the content is awesome"
Adam Ait lahcen,Man I really appreciate your hard work. this tutorial is the best one I've ever seen. thank you for these amazing 6 hours.
Khalid Aminu Lawal,"Hi Mosh! Thanks for this! I really like your tutorial approach; clear voice and points!! May God reward you for offering this FREE! This is the 2nd channel I came to looking for such tutorial and how glad I'm to look for a 2nd! Super super excited about this! Totally new to programming as it's not my background, but already seeming promising!"
Dinesh Kiran,"Why would you dislike something like this. He has basically spent hours of his lifetime to create quality content that even non-IT people could easily understand. Kudos to you, Mosh. Top class work."
Joseph Michael,"Man, I live in Brazil and I've learned a lot through your videos. Thanks so much for this wonderful initiative of spreading knowledge."
Abdul Mateen Qureshi,I already know the basics of programming and I was looking for a short video on overview of python basics then I came across to this video. Yes it is the best one because in minimum time he tried to cover things that I want to learn. Thanks Sir for creating this video. And I hope in future you'll create more awesome content for us. Keep rising and shining
Linda Maisamari,My Professor advised to check this out and i am super grateful for what i have started learning today. Cant wait to learn more. Thank you for all you do Mosh -You rock!!
Kasun Ranaweera,This is the only video tutorial I watch without fast-forwarding. really interesting. Thank you so much mosh.
clinton ebai,Mosh is out of this world. Great tutorial and I'm feeling optimistic.
