People,Comments
CodingMadeClear,"This guy, sat for 1 hour and talked about python, and then released it for free. legend"
Snipy 🔧,I'm literally only like 5 minutes in and this is making more sense then my weeks of classes. Sir you are amazing. You need to win some sort of award for the service you are doing for the millions of people watching. You are opening doors and potential futures for people. This could be life changing. You gained a subscriber.
Sam,My tiny brain can't comprehend how you crammed so much information into such a short timespan and still made it easily understandable. Thank you so much for this tutorial and I hope this will be the start of a coding passion for me.
Tatiana Alexandrovitch,"Excellent course! The concept is very clear and great presentation as well. I spent hours watching other courses and learned much less than I have learned with you in this short course. It is a ""crash course on steroids"" that teaches a lot of great information, and it is easy to follow. You have one more subscriber now. I am going to get your full course (for certification purposes). Thank you so much, Mosh!"
Anu GB,"Very very clear content and presentation. I have attended other 1 hour python courses and i was still confused on so many concepts, but this course is really good and gives no space for any such confusions. Thanks a lot. I would really sign up for an advanced course shortly as i am prepping for python certifications."
TheRacingRoo,This is exactly what I needed for my college course work. Learned C++ but a year later need to know python for a project. This helps so much and goes quick enough so I’m not bored but also slow enough that I can try it out myself. Thanks so much!
Dalia Ibrahim,"I really learned a lot from this video. Your voice, organization and one step at a time approach have encouraged me to learn more and more. I didn't feel tense at all. On the contrary, I felt it went smoothly and easily. Thank you so much."
F1 meme lord,"I am taking GCSE computer science and one of the main tips i got was to learn to code. Watching this one hour tutorial, I have learned more in two hours than I did in 5 lessons of python tutoring at school. Thanks mosh."
Karrie Melody,"Great tutorial! Thank you so much!
Converter task:

weight = int(input(""Your current weight: ""))"
Soaphy,"Exercice 8:50

Name = (""John Smith"")

Age = 20"
Lanre Odusina,"Wonderful work done here sir. Well explained and easy to understand... Showing us the errors and how to rectify them is just superb it gives us a better understanding rather. 
Is this coding for creating website or applications?"
Ubong,"As a programming newbie, I can say that this has simplified Python to a point that I am wholly interested. Awesome job, Mosh!!"
Beamer B,"Learning for the data science realm. I watched your SQL course and it was amazing. Thank you for being so clear and concise with your explanations. Most YouTube instructors, or instructors in general, don’t share the “why you shouldn’t do something a certain way,” but you do. I feel job ready after watching your videos. Thank you for being awesome."
ice,"Hi Mosh, thank you so much for this video!
 i was curious about python and I'm super interested when I learned that it was so useful in many fields, especially now in my chosen degree. I actually watched this video so that I could have a bit of knowledge in the future since python is quite used in many areas and also in some job positions that I'm aiming in the future after I graduate. Thanks for making this, you've certainly helped a lot of people including me  <3"
How mathematicians create maths,"Hey Mosh! ;) 

As a mathematician I´m now finally interested in the IT world also and discovered your Video and you truly motivated me to learn Python."
Super PantMan,I watched the whole thing. As stated its only for beginners but its very easy to follow and flows nicely to cover many topics within an hour. Excellent work.
HOC Fashions,"Thanks Mosh for this amazing material.️

Please I have a question, why do we have to use  unit.upper in your solution for the third exercise?"
Paul Aulridge Jr,"Now THIS is superlative instruction; teach a concept, and then demonstrate it. That you include errors is a stroke of genius! The nuances of programming languages can be difficult to understand at first, but by showing things going WRONG, you also show how to CORRECT the mistakes. This is just brilliant work. Thank you! Subscribed as hell!"
Line,"This is amazing, very easy to understand and i really loved there was assignment along the way to try out what you have learned <3"
Timothy Abidoye,"1 First = input(""First: "")
2 Second = input(""Second: "")
3 Sum = Float(First) + Float(Second)
4 print(""Sum: "" + Str(Sum))"
CM D,"This was really helpful. I now have an idea of python, and feel ready to learn even more.
Thank you !"
Thomas Ling,"Truth be told this course has been pretty helpful, and gave me a really nice and quick revision of python basics. Thank you!"
Kakad00,"You're like one of those good teachers that lead your students towards a mistake to teach them what and how something could go wrong then, teach how to do it properly. Loving this."
Petri Lautamäki,3 minutes in and I'm already really appreciating the fact that you have taken into consideration that not everyone uses Mac and some uses Windows. It's a simple thing but so often forgotten.
Hal Harrison,"Also, for newcomers: I found it helpful to reduce playback speed to .75 in settings, and turn on CC.  The material goes fast, and this trick made it much easier to absorb the material."
Paul Preston,"My code for 15:08

First = float(input(""First: ""))

Second = float(input(""Second: ""))"
Les Ryder,Brilliant. Im amazed at the similarities of basic. So well presented.
R35T Man,Thank you for creating this detailed tutorial for beginners.
ernesto garcia,I'm learning because i want a better job than driving a school bus.
Farheen khan,Hey!   A very beautiful  and simple way of teaching. Thank you for teaching me Python
Ocean's day,Thanks for this amazing tutorial. You just saved months of learning .
Patrick Fisher,This is a million times better than the 100 days of code on Udemy class taught by Angela. Much clearer and concise especially if you do not have a background in this.
Pohaku,"I have always been interested in coding but never have actually tried it, I'm 13 minutes into this video and I am practicing/learning for the first time & I am already learning and having fun, thank you so much man!"
Smart Finance Army,"Hey Mosh. This is my first time on Python. You made me love it.
I have held the Python plough, I ain't looking back.
You are an amazing teacher. Thank you."
yourhost,You have teaching magic! I’ve never been able to learn from a coding video so easily
Hal Harrison,"I keep coming back to this resource as I go in my journey of learning Python.  It has been invaluable, you have my sincere gratitude!"
Lily B.,I finally find a teacher that explain python so clear. Thanks a lot
Ken Charles,"I cant believe i spent up to 2 hours watching and practicing with this tutorial, and i enjoyed it. I love the exercise section, its inspiring. Thanks for taking your time to give this tutorial."
HAZARDOUS STORM,"Honestly Sir,  it really helped me understand python basics. Thank You so much"
Paul Joneseyboy,"Best tutorial I have ever seen thanks so much, I’ll do the full course ASAP"
Efitri Apriliyan,"i'm beginner. this is my first time starting to learn programming. hope everything going well, and this video is my first source of learning python!"
Obla Vishvesh,"Thank you Mosh for this wonderful, easy to learn python tutorial."
AG,Mosh explains everything thoroughly and never misses on a single part. He has challenges for us so that we take what we learned in the past and implement it in our code. I am still in the middle of the course but I can say that this channel is the #1 channel for those who want to learn to code! Keep it up!!
Juanita Jewett,"You have made me so happy I could cry, I am retaking a class that involves learning Python. I struggled so bad in that class. failing this class put me on academic probation because we have to maintain a 3.0 or higher.  YOU MADE This super Easy. I know I am going to pass this class for sure this time. You even showed how to look for what you did wrong that is so fantastic. I am Subscriber for Life Sir."
امیرمهدی داودی,"You're wonderful Mosh 
I'm learning lots of great things here"
M M,"Proud to say, I took notes and watched the entire video. Despite not knowing anything about coding. I learned a lot. Thanks!"
Pp,Thanks sir as a 8th STD student it was very difficult for me to learn coding but you made it really easy
Janice Lim,"as someone who legit struggled for a few years trying to start learning python, trying to understand and comprehend python because it's too technical, this has made learning python a whole lot more easier and digestible compared to self learning on Kaggle, etc. Thanks a bunch Mosh for making learning feel easier!!"
Market analyst 📉,"Thanks mosh because of your simplified way of teaching I learn python programming.

Wishing you ATB"
Kunal Kheeva,It was a productive lecture. Thank you!
Mahendrasinh Parmar,I really impressed by the python programming information given in 1 hours video without wasting not a minute time and explained each concept very nicely with examples. Thanks .
CeeloThatMane,"Man this is so easy. After all of this time of trying to figure out where to learn coding and I simply just typed in “python” and found a video with the easiest breakdown I could ever find. 

Much appreciated. I’m a complete noob. Never coded in my life outside of coding apps in high school with those little puzzle piece coding software we used. It was trash"
RhythmFog,Appreciate the time you put into this video for us.
Ravindranath Menon,Excellent tutorial. Interspersing each lesson immediately with an example is a wonderful way of teaching. You really hit the nail on its head. Thank you for this painstaking effort. Looking forward to your other tutorials. My best wishes in all your endeavours.
Veraleee,Okay! I loved this video. Thank you for putting this great content together.
Euan restricted,im so thankful for this tutorial sir mosh great more tutorials to come
Daniel Delgado,"This was really fantastic. I have no prior Python experience and was able to keep up and even experiment a little during the exercises. Thank you so much!!

8:50"
RiceDork,"This is amazing! So far I'm on the Weight converter exercise and I noticed a difference between ours which I can assume to either be an ""I'm sure you guys are smart enough to figure out something new for yourselves/I'm sure these guys will be excited to figure something out"" or simply an oversight (which happens). I realized you used else rather than elif resulting in an ""if not K, anything other letter"" will work situation. Here's mine:"
Sufyan,i just need to catch up my first year of computer science in highschool
Gogi King,"Hi. I am genuinely interested in learning Python and your videos are amazing.
exercise numero 1:
name = (""john Smith"")

age = 20"
melica sd,"Hi, I'm almost at the end of the video and I just wanted to let you know how grateful I am for this amazing video. I will dive deep into your channel very soon"
Crazy Titan X Army,YOUR TEACHING SKILL IS NEXT LEVEL
Ryan Shayegan,Amazing introduction to Python! Bravo Mosh
manpreet singh Saini,"thanks sir for such a great video for beginners
 I really appreciate your hard work!"
Chats with Fred,"Thank you so much, 100% beneficial for me. Liked and subscribed!"
Banus,I really love how well this was made and you made variables MUCH easier to understand and to make
Ishaan Naolekar,i just completed everything in here and its truly amazing like an hour ago  i had no idea what python is and after seeing this video i can start to code python thanks MOSH
Mint Toast,You are an awesome teacher I learned so much!
